"Dbkey","Station","Site","Group Name","Data Type","Frequency","Statistic Type","Recorder","Agency","Start Date","End Date","Strata","County","Op Num","Latitude","Longitude","X COORD","Y COORD","Basin","Structure Type","Section","Township","Range"
"VN213","S177_R","S177","S177","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","DAD","","252411.07","803330.57","801907.699","388985.403","C111_AG","","7","58","38"
"16585","S177_R","S177","S177","RAIN","DA","SUM","OMD","WMD","18-MAR-1991","15-FEB-2019","0","DAD","","252411.07","803330.57","801907.699","388985.403","C111_AG","","7","58","38"
"K8656","S177_R","S177","S177","RAIN","DA","SUM","TELE","WMD","18-MAR-1997","17-FEB-2019","0","DAD","","252411.07","803330.57","801907.699","388985.403","C111_AG","","7","58","38"
"05818","S18C_R","S18C","S18C","RAIN","DA","SUM","BELF","WMD","26-MAR-1967","10-APR-2000","0","DAD","","251950.85","803130.89","812974.937","362752.918","C111_SO","","3","59","38"
"VM774","S18C_R","S18C","S18C","RAIN","DA","SUM","TELE","WMD","10-JUN-2003","10-APR-2005","0","DAD","","251950.85","803130.89","812974.937","362752.918","C111_SO","","3","59","38"
"88105","S18C_R","S18C","S18C","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","251950.85","803130.89","812974.937","362752.918","C111_SO","","3","59","38"
"VN217","S18C_R","S18C","S18C","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","DAD","","251950.85","803130.89","812974.937","362752.918","C111_SO","","3","59","38"
"16659","S18C_R","S18C","S18C","RAIN","DA","SUM","OMD","WMD","08-JAN-1991","15-FEB-2019","0","DAD","","251950.85","803130.89","812974.937","362752.918","C111_SO","","3","59","38"
"K8660","S18C_R","S18C","S18C","RAIN","DA","SUM","TELE","WMD","18-MAR-1997","17-FEB-2019","0","DAD","","251950.85","803130.89","812974.937","362752.918","C111_SO","","3","59","38"
"88112","S331W","S331W","S331W","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","253637.45","803034.61","817764.53","464392.92","C1 WEST","","2","55","38"
"VN251","S331W","S331W","S331W","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","DAD","","253637.45","803034.61","817764.53","464392.92","C1 WEST","","2","55","38"
"16261","S331W","S331W","S331W","RAIN","DA","SUM","CR10","WMD","20-JUL-1994","17-FEB-2019","0","DAD","","253637.45","803034.61","817764.53","464392.92","C1 WEST","","2","55","38"
"15726","S331_R","S331","S331","RAIN","DA","SUM","CAN","WMD","01-SEP-1992","26-DEC-2001","0","DAD","","253640.3","803034.72","817753.396","464680.61","L-31NS","","26","55","38"
"K8649","S331_R","S331","S331","RAIN","DA","SUM","TELE","WMD","18-MAR-1997","12-MAR-2003","0","DAD","","253640.3","803034.72","817753.396","464680.61","L-31NS","","26","55","38"
"05967","S331_R","S331","S331","RAIN","DA","SUM","BELF","WMD","31-JUL-1980","28-OCT-2003","0","DAD","","253640.3","803034.72","817753.396","464680.61","L-31NS","","26","55","38"
