EDEN Station Name	UTM E Zone 17N (m NAD83)	UTM N Zone 17N (m NAD83)	Location Area	Vertical Datum for Water Level Data	Vertical Conversion at Gage (ft) (NGVD29 to NAVD88)
SITE_8C	577474.79763	2931309.20303	Water Conservation Area 1	NGVD29	-1.47
SITE_8T	576266.93000	2931241.70000	Water Conservation Area 1	NGVD29	-1.47
SITE_9	570077.53330	2927288.80073	Water Conservation Area 1	NGVD29	-1.48
SITE_99	563276.52689	2891043.99952	Water Conservation Area 2B	NGVD29	-1.54
SOUTH_CA1	565752.40847	2922897.26640	Water Conservation Area 1	NAVD88	-1.48
SP	520390.77873	2808007.48637	Everglades National Park	NAVD88	-1.54
SRS1	542265.46141	2853460.28020	Water Conservation Area 3B	NGVD29	-1.54
Stillwater_Creek	551726.65056	2790343.28005	Coast of Florida Bay	NAVD88	-1.54
Taylor_River_at_mouth	536376.84396	2786171.79607	Coast of Florida Bay	NAVD88	-1.54
Taylor_Slough_wetland_at_E146	533624.48719	2792579.87245	Everglades National Park	NAVD88	-1.55
Upstream_Taylor_River	535475.27983	2788445.51219	Coast of Florida Bay	NAVD88	-1.54
TI-8	545989.76786	2857214.73841	Water Conservation Area 3B	NAVD88	-1.54
TI-9	540141.95423	2857718.58413	Water Conservation Area 3B	NAVD88	-1.53
TMC	512822.47205	2832943.68971	Everglades National Park	NAVD88	-1.49
Trout_Creek_at_mouth	547003.17311	2788849.66495	Coast of Florida Bay	NAVD88	-1.54
TS2	539555.74231	2809311.25964	Everglades National Park	NAVD88	-1.51
TSH	537180.09126	2799430.86270	Everglades National Park	NAVD88	-1.56
Turner_River_nr_Chokoloskee_Island	465777.30700	2856790.23800	Coast of Gulf of Mexico	Arbitrary	
W11	525031.57495	2869370.75538	Water Conservation Area 3A	NAVD88	-1.49
W14	533210.16412	2868773.66912	Water Conservation Area 3A	NAVD88	-1.50
W15	532243.48479	2877292.47518	Water Conservation Area 3A	NAVD88	-1.48
W18	522127.95393	2875917.89173	Water Conservation Area 3A	NAVD88	-1.47
W2	519158.29039	2853518.55355	Water Conservation Area 3A	NAVD88	-1.50
W5	530550.20836	2852371.06434	Water Conservation Area 3A	NAVD88	-1.52
WCA1ME	568748.30852	2932450.17858	Water Conservation Area 1	NAVD88	-1.47
WCA2E1	564574.02435	2914830.95091	Water Conservation Area 2A	NAVD88	-1.57
WCA2E4	564236.97259	2910153.08067	Water Conservation Area 2A	NAVD88	-1.56
WCA2F1	562878.88948	2915714.73491	Water Conservation Area 2A	NAVD88	-1.54
WCA2F4	561404.79273	2910969.92976	Water Conservation Area 2A	NAVD88	-1.55
WCA2RT	548922.85190	2912331.69564	Water Conservation Area 2A	NAVD88	-1.53
WCA2U1	564330.06346	2902585.56697	Water Conservation Area 2A	NAVD88	-1.50
WCA2U3	558813.26619	2907727.64406	Water Conservation Area 2A	NAVD88	-1.56
West_Highway_Creek	555693.23372	2791958.46800	Coast of Florida Bay	NAVD88	-1.54
BSC	483661.15000	2794429.18000	Coast of Gulf of Mexico	NAVD88	-1.42
MO-215	515257.06000	2817266.59000	Everglades National Park	NAVD88	-1.52
SH2	503691.00000	2810354.99000	Coast of Gulf of Mexico	NAVD88	-1.47
SH3	492104.05000	2805266.71000	Coast of Gulf of Mexico	NAVD88	-1.44
SH4	493921.36000	2811842.48000	Coast of Gulf of Mexico	NAVD88	-1.44
SH5	493997.23000	2811603.13000	Coast of Gulf of Mexico	NAVD88	-1.44
MO-214	497463.68000	2832744.37000	Everglades National Park	NAVD88	-1.45
LO2	495828.95000	2830631.23000	Coast of Gulf of Mexico	NAVD88	-1.45
LO3	481485.43000	2824670.68000	Coast of Gulf of Mexico	NAVD88	-1.42
CN	505785.44516	2811458.52923	Coast of Gulf of Mexico	NGVD29	-1.48
NR	508914.96106	2802409.92161	Coast of Gulf of Mexico	NGVD29	-1.50
WW	495576.20951	2829741.65641	Coast of Gulf of Mexico	NGVD29	-1.44
TSB	539496.65700	2809627.56500	Everglades National Park	NAVD88	-1.51
BARW4	465270.02246	2875162.98931	Big Cypress National Preserve	NAVD88	-1.37
BARW6A	465524.17749	2881398.54964	Big Cypress National Preserve	NAVD88	-1.39
SR1	518962.76913	2806906.17351	Everglades National Park	NAVD88	-1.53
G251_T	555695.90200	2942262.39800	Water Conservation Area 1	NAVD88	-1.48
G338_T	555285.81400	2927858.86600	Water Conservation Area 1	NAVD88	-1.48
WC2AN1	554225.81900	2925386.42030	Water Conservation Area 2A	NAVD88	-1.46
WC2AS1	550618.60160	2918999.53870	Water Conservation Area 2A	NAVD88	-1.46
EP1R	555056.90000	2796891.80000	Everglades National Park	NAVD88	-1.55
NMP	520328.60000	2793072.00000	Coast of Gulf of Mexico	NAVD88	-1.52
G-1251	543705.70000	2800572.40000	Everglades National Park	NGVD29	-1.58
G-1502	541873.10000	2833194.50000	Everglades National Park	NGVD29	-1.56
G-620	523441.40000	2837621.90000	Everglades National Park	NGVD29	-1.51
G-3272	546274.50000	2838660.00000	Everglades National Park	NGVD29	-1.56
G-3273	542575.90000	2834820.40000	Everglades National Park	NAVD88	-1.56
EVER5A	543033.10000	2796697.60000	Everglades National Park	NGVD29	-1.57
EVER5B	543362.30000	2796950.90000	Everglades National Park	NGVD29	-1.57
TE	503603.90000	2810132.90000	Coast of Gulf of Mexico	NGVD29	-1.47
BR	501033.10000	2817699.40000	Coast of Gulf of Mexico	NGVD29	-1.46
SITE_69W	541144.94000	2865433.80000	Water Conservation Area 3A	NGVD29	-1.52
ANGEL	546009.00000	2833971.00000	Everglades National Park	NAVD88	-1.56
G-3437	543483.00000	2827804.00000	Everglades National Park	NGVD29	-1.55
G-3574	550358.00000	2847691.00000	Everglades National Park	NGVD29	-1.55
G-3575	550547.00000	2842792.00000	Everglades National Park	NGVD29	-1.55
G-3576	548717.00000	2847627.00000	Everglades National Park	NGVD29	-1.55
G-3577	550109.00000	2842845.00000	Everglades National Park	NGVD29	-1.55
G-3578	548827.00000	2842859.00000	Everglades National Park	NGVD29	-1.55
G-3626	549068.00000	2833537.00000	Everglades National Park	NGVD29	-1.55
G-3628	546730.00000	2830818.00000	Everglades National Park	NGVD29	-1.55
G-3818	554996.25230	2858473.61100	Pennsuco Wetlands	NGVD29	-1.54
G-596	548990.00000	2835686.00000	Everglades National Park	NGVD29	-1.55
G-975	554455.23320	2861399.99200	Pennsuco Wetlands	NGVD29	-1.54
RG3	542685.00000	2825294.00000	Everglades National Park	NAVD88	-1.57
G-3567	556509.00000	2864737.00000	Pennsuco Wetlands	NGVD29	-1.54
G-1488	551887.00000	2855689.00000	Pennsuco Wetlands	NGVD29	-1.55
G-3761	556768.00000	2858275.00000	Pennsuco Wetlands	NGVD29	-1.55
G-3676	557763.00000	2852293.00000	Pennsuco Wetlands	NGVD29	-1.57
3ANE_GW	539459.06862	2906638.86975	Water Conservation Area 3A	NAVD88	-1.46
3ANW_GW	521937.21205	2905238.33655	Water Conservation Area 3A	NAVD88	-1.40
MO-216	483516.00000	2845679.00000	Big Cypress National Preserve	NAVD88	-1.42
SPARO	517147.00000	2846252.00000	Everglades National Park	NGVD29	-1.49
Alligator_Creek	520881.00000	2784403.00000	Everglades National Park	NAVD88	-1.50
East_Side_Creek	493511.00000	2780116.00000	Everglades National Park	NAVD88	-1.44
G-3777	533608.00000	2792955.00000	Everglades National Park	NAVD88	-1.55
Manatee_Bay_Creek	558384.00000	2794330.00000	Everglades National Park	NAVD88	-1.54
Raulerson_Brothers_Canal	486622.00000	2785733.00000	Everglades National Park	NAVD88	-1.43
Barron_River	461678.00000	2861312.00000	Coast of Gulf of Mexico	NAVD88	-1.38
USSO_O	511775.00000	2912245.00000	L28 Canal	NGVD29	-1.42
L28_GAPG1	501602.00000	2889376.00000	Big Cypress National Preserve	NAVD88	-1.42
USSO_T	511782.06000	2912271.16000	L28 Canal	NAVD88	-1.42
WC2A159	555363.72000	2917886.69000	Water Conservation Area 2A	NGVD29	-1.46
